regcode,regname,provcode,provname,citycode,cityname,registered,accredited,unregistered,drafted,for_validation,back_to_encoder,validated,approved,total_stepzero
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804818,"SAN ISIDRO",47,76,78,85,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806025,"SAN JORGE",85,66,3,151,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804819,"SAN JOSE",8,116,41,115,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806014,"SAN JOSE DE BUAN",0,28,37,27,12,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806414,"SAN JUAN",39,46,12,85,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802620,"SAN JULIAN",78,53,6,121,4,5,1,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803743,"SAN MIGUEL",0,122,11,122,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802621,"SAN POLICARPO",39,49,50,0,3,0,79,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806415,"SAN RICARDO",34,3,12,37,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804820,"SAN ROQUE",53,160,0,190,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806015,"SAN SEBASTIAN",14,38,66,56,1,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804821,"SAN VICENTE",0,44,0,44,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803744,"SANTA FE",60,111,3,0,0,2,1,169,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806016,"SANTA MARGARITA",159,0,25,159,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806017,"SANTA RITA",237,0,27,237,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806018,"SANTO NIÑO",0,6,137,2,5,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806416,SILAGO,0,26,0,26,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804822,"SILVINO LOBOS",69,63,0,132,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806417,SOGOD,94,100,53,174,17,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802622,SULAT,0,129,0,70,13,46,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803745,TABANGO,64,87,0,3,60,0,89,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803746,TABONTABON,22,49,8,0,0,0,72,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802623,TAFT,0,184,30,184,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806024,TAGAPUL-AN,19,43,4,55,0,13,0,0,1
