cadre,geo_code,geo_level,lgu_hired,doh_hired,total,population_2025,households_2025,source_psgc,source_area_name,geo_resolution
sanitary_engineer,1381701,citymun,0,0,0,66990,16265,1381701000,Pateros,direct
sanitary_inspector,1381701,citymun,0,12,12,66990,16265,1381701000,Pateros,direct
physician,14,region,95,27,122,1879444,459178,1400000000,CAR,direct
nurse,14,region,245,445,690,1879444,459178,1400000000,CAR,direct
midwife,14,region,746,196,942,1879444,459178,1400000000,CAR,direct
dentist,14,region,38,17,55,1879444,459178,1400000000,CAR,direct
med_tech,14,region,99,25,124,1879444,459178,1400000000,CAR,direct
nutritionist,14,region,20,12,32,1879444,459178,1400000000,CAR,direct
sanitary_engineer,14,region,4,0,4,1879444,459178,1400000000,CAR,direct
sanitary_inspector,14,region,115,0,115,1879444,459178,1400000000,CAR,direct
physician,14001,province,19,3,22,251555,59078,1400100000,Abra,direct
nurse,14001,province,53,95,148,251555,59078,1400100000,Abra,direct
midwife,14001,province,98,39,137,251555,59078,1400100000,Abra,direct
dentist,14001,province,2,1,3,251555,59078,1400100000,Abra,direct
med_tech,14001,province,8,12,20,251555,59078,1400100000,Abra,direct
nutritionist,14001,province,0,4,4,251555,59078,1400100000,Abra,direct
sanitary_engineer,14001,province,0,0,0,251555,59078,1400100000,Abra,direct
sanitary_inspector,14001,province,25,0,25,251555,59078,1400100000,Abra,direct
physician,1400101,citymun,1,0,1,50619,12334,1400101000,Bangued,direct
nurse,1400101,citymun,2,6,8,50619,12334,1400101000,Bangued,direct
midwife,1400101,citymun,11,0,11,50619,12334,1400101000,Bangued,direct
dentist,1400101,citymun,0,0,0,50619,12334,1400101000,Bangued,direct
med_tech,1400101,citymun,1,0,1,50619,12334,1400101000,Bangued,direct
nutritionist,1400101,citymun,0,0,0,50619,12334,1400101000,Bangued,direct
sanitary_engineer,1400101,citymun,0,0,0,50619,12334,1400101000,Bangued,direct
sanitary_inspector,1400101,citymun,1,0,1,50619,12334,1400101000,Bangued,direct
physician,1400102,citymun,0,0,0,4551,871,1400102000,Boliney,direct
nurse,1400102,citymun,1,6,7,4551,871,1400102000,Boliney,direct
midwife,1400102,citymun,2,2,4,4551,871,1400102000,Boliney,direct
dentist,1400102,citymun,0,0,0,4551,871,1400102000,Boliney,direct
med_tech,1400102,citymun,0,0,0,4551,871,1400102000,Boliney,direct
nutritionist,1400102,citymun,0,0,0,4551,871,1400102000,Boliney,direct
sanitary_engineer,1400102,citymun,0,0,0,4551,871,1400102000,Boliney,direct
sanitary_inspector,1400102,citymun,1,0,1,4551,871,1400102000,Boliney,direct
physician,1400103,citymun,0,0,0,17953,4339,1400103000,Bucay,direct
nurse,1400103,citymun,2,4,6,17953,4339,1400103000,Bucay,direct
midwife,1400103,citymun,6,0,6,17953,4339,1400103000,Bucay,direct
dentist,1400103,citymun,0,0,0,17953,4339,1400103000,Bucay,direct
med_tech,1400103,citymun,0,1,1,17953,4339,1400103000,Bucay,direct
nutritionist,1400103,citymun,0,1,1,17953,4339,1400103000,Bucay,direct
sanitary_engineer,1400103,citymun,0,0,0,17953,4339,1400103000,Bucay,direct
sanitary_inspector,1400103,citymun,1,0,1,17953,4339,1400103000,Bucay,direct
physician,1400104,citymun,1,0,1,2395,480,1400104000,Bucloc,direct
nurse,1400104,citymun,1,1,2,2395,480,1400104000,Bucloc,direct
midwife,1400104,citymun,2,2,4,2395,480,1400104000,Bucloc,direct
dentist,1400104,citymun,0,0,0,2395,480,1400104000,Bucloc,direct
med_tech,1400104,citymun,0,1,1,2395,480,1400104000,Bucloc,direct
nutritionist,1400104,citymun,0,0,0,2395,480,1400104000,Bucloc,direct
sanitary_engineer,1400104,citymun,0,0,0,2395,480,1400104000,Bucloc,direct
sanitary_inspector,1400104,citymun,1,0,1,2395,480,1400104000,Bucloc,direct
physician,1400105,citymun,1,0,1,2019,414,1400105000,Daguioman,direct
nurse,1400105,citymun,1,1,2,2019,414,1400105000,Daguioman,direct
midwife,1400105,citymun,2,1,3,2019,414,1400105000,Daguioman,direct
dentist,1400105,citymun,0,1,1,2019,414,1400105000,Daguioman,direct
med_tech,1400105,citymun,0,0,0,2019,414,1400105000,Daguioman,direct
